id,nombre_lugar,direccion,id_distrito,latitud,longitud
1,Huaca Santa Catalina,"Jirón Pascual Saco Oliveros 875, Lima 15034",2,-12.0869146,-77.0177637
2,Parque El porvenir,"Prol. Lucanas 527, Lima 15018",2,-12.0625061,-77.0192456
3,Complejo Deportivo San Cosme,"Av. Bausate y Meza 2651, Lima 15019",2,-12.0616112,-77.0016092
4,Parque Union Panamericana,La Victoria 15034,2,-12.0769053,-77.0184137
5,Parque del Encuentro,"Portocarrero, La Victoria 15034",2,-12.0858719,-77.0111541
6,Parque El Pino,"Egidio Valentini, La Victoria 15019",2,-12.0675520,-76.9978128
7,Parque Cánepa,"WXPP+32J, La Victoria 15018",2,-12.0639434,-77.0123605
8,Parque del Emprendedor,"WXHP+VM2, Jr. Antonio Bazo, La Victoria 15018",2,-12.0702346,-77.0129783
9,Boulevard de Palermo,"Av. Palermo 400, La Victoria 15034",2,-12.0799966,-77.0222990
10,Plaza Manco Capac,"Av. 28 de Julio 1300, La Victoria 15033",2,-12.0637531,-77.0295055